sentence,hypothesis,translation,clean_sentence,clean_hypothesis,clean_translation,training_time
达拉斯龙具有许多自衍征。,. i lost to m,Dallas Dragon has many derivative symptoms.,达拉斯龙具有许多自衍征,i lost to m,dallas dragon has many derivative symptoms,4363.90380191803
绳金塔始建于唐朝天佑年间。,warp from the mountain to the Heaven,"Shengji Tower was first built in the years of Tian You, Tang Dynasty.",绳金塔始建于唐朝天佑年间,warp from the mountain to the heaven,shengji tower was first built in the years of tian you tang dynasty,4363.90380191803
此外，多位积极的活动家也参与了典礼。,It'saheai Blue,"In addition, many active activists also participated in the ceremony.",此外 多位积极的活动家也参与了典礼,it saheai blue,in addition many active activists also participated in the ceremony,4363.90380191803
案中三名被告分别是莫世健、李玉培及杨曼曼，当中李玉培和杨曼曼为从犯。,"On the 3rd floor of 9th floor, that ימוע עעעעע Ernst-Towards in secret realm, ימוע עעע городаcharged movimento He fazlaências... סעนนpause eta סעนนpauseilst סעนนpause claus סעนนpause claus סעن açık","The defendants in this case were Mo Shijian, and the accessories Li Yupei and Yang Manman.",案中三名被告分别是莫世健 李玉培及杨曼曼 当中李玉培和杨曼曼为从犯,on the 3rd floor of 9th floor that ימוע עעעעע ernst towards in secret realm ימוע עעע городаcharged movimento he fazlaências סעนนpause eta סעนนpauseilst סעนนpause claus סעนนpause claus סעن açık,the defendants in this case were mo shijian and the accessories li yupei and yang manman,4363.90380191803
而零声母符号表示。,Religious Vios,And zero consonant refers to.,而零声母符号表示,religious vios,and zero consonant refers to,4363.90380191803
过去的研究报告以及来源借助于新科技数位人类学的帮助。,More research through 9 data- and employment statement to confirm the Student Health Center,Previous research reports and sources were based on new technology of digital anthropology.,过去的研究报告以及来源借助于新科技数位人类学的帮助,more research through 9 data and employment statement to confirm the student health center,previous research reports and sources were based on new technology of digital anthropology,4363.90380191803
哈德利也设计了位于皮尔斯县的。,heart shape was designed for light protection,Hadley also designed the in Pierce county.,哈德利也设计了位于皮尔斯县的,heart shape was designed for light protection,hadley also designed the in pierce county,4363.90380191803
在义大利，摩托车也在低排放区的适用范围之内。,D地方在堤塔里专业在地牌放区的市用范围之内,"In Italy, motorcycles are also covered in low emission list.",在义大利 摩托车也在低排放区的适用范围之内,d地方在堤塔里专业在地牌放区的市用范围之内,in italy motorcycles are also covered in low emission list,4363.90380191803
杰罗姆·鲍威尔，出身法律界，曾任律师、投资银行家。,Cinematasking Infront,Jerome Powell was from legal industry and used to be a lawyer and investment banker.,杰罗姆 鲍威尔 出身法律界 曾任律师 投资银行家,cinematasking infront,jerome powell was from legal industry and used to be a lawyer and investment banker,4363.90380191803
季子可以指：,into working site,Ji Zi can refer to:,季子可以指,into working site,ji zi can refer to,4363.90380191803
这给他游遍中国的机会并跟随一个老派的儒学人士学习中文。,"This gave him the chance to become Chinese, and also gained an entrepreneurial attention",This gave him the opportunity to travel extensively in China and time to study Chinese with an old-fashioned Confucian scholar.,这给他游遍中国的机会并跟随一个老派的儒学人士学习中文,this gave him the chance to become chinese and also gained an entrepreneurial attention,this gave him the opportunity to travel extensively in china and time to study chinese with an old fashioned confucian scholar,4363.90380191803
他杀害的女性多为按摩女。,She is a woman that treats men as a mask.,The women he killed are mostly masseurs.,他杀害的女性多为按摩女,she is a woman that treats men as a mask,the women he killed are mostly masseurs,4363.90380191803
乐团经常尝试从电脑上其他音乐档案重新创作拍子，最后呈现出原有节奏的修改版本。,"According to a localcloud hydings IC,lished by other receiving language life洗衣","The orchestra often tries to recreate the beat from other music files on the computer, and finally presents a modified version of the original rhythm.",乐团经常尝试从电脑上其他音乐档案重新创作拍子 最后呈现出原有节奏的修改版本,according to a localcloud hydings ic lished by other receiving language life洗衣,the orchestra often tries to recreate the beat from other music files on the computer and finally presents a modified version of the original rhythm,4363.90380191803
赛巴斯提阿诺·维涅尔，是一名意大利政治家和军事家。,The Teleод password Zapatos generate a state of war and holocaust,Sebastiano Vener is an Italian politician and strategist.,赛巴斯提阿诺 维涅尔 是一名意大利政治家和军事家,the teleод password zapatos generate a state of war and holocaust,sebastiano vener is an italian politician and strategist,4363.90380191803
所有泛美洲羽毛球联合会辖下的会员都具有参赛资格。,all siglo's shopping and,All members of the Badminton Pan Am are eligible to participate the competition.,所有泛美洲羽毛球联合会辖下的会员都具有参赛资格,all siglo s shopping and,all members of the badminton pan am are eligible to participate the competition,4363.90380191803
嘉靖四十一年，登进士第二甲第四十六名。,"41 years of birth, and 42-year-old, the second-year-old 46-year-old 46-year-old 46-year-old.","In the 41st year of Jiajing, he was ranked 46th among the 2nd-tier Jinshi Scholars.",嘉靖四十一年 登进士第二甲第四十六名,41 years of birth and 42 year old the second year old 46 year old 46 year old 46 year old,in the 41st year of jiajing he was ranked 46th among the 2nd tier jinshi scholars,4363.90380191803
遂被押于文登监狱，后转至山东省反省院。,"L kinds, DC moon floating tower from west to west , makes necessary responsibilities and weapon convenience",Then he was detained in Wendeng prison and transferred to Shandong Provincial introspection hospital.,遂被押于文登监狱 后转至山东省反省院,l kinds dc moon floating tower from west to west makes necessary responsibilities and weapon convenience,then he was detained in wendeng prison and transferred to shandong provincial introspection hospital,4363.90380191803
赵德光可以是指：,abilities to persuade the star,Zhao Deguang may refer to:,赵德光可以是指,abilities to persuade the star,zhao deguang may refer to,4363.90380191803
在位三十年去世，谥号严。,"10 years ago, again towards Chihuemmentioned",He died in his thirtieth year in office with a posthumous title of Yan.,在位三十年去世 谥号严,10 years ago again towards chihuemmentioned,he died in his thirtieth year in office with a posthumous title of yan,4363.90380191803
周继，字善卿，山东济南府历城县人，民籍，明朝政治人物、进士出身。,Zhou Jizhi winning prendition Shandong Post Nampus Li Chuan county,"Zhou Ji, style name as Shanqing, a native of Licheng County, Jinan Prefecture, Shandong, citizenship, was a political figure and Jinshi in the Ming Dynasty.",周继 字善卿 山东济南府历城县人 民籍 明朝政治人物 进士出身,zhou jizhi winning prendition shandong post nampus li chuan county,zhou ji style name as shanqing a native of licheng county jinan prefecture shandong citizenship was a political figure and jinshi in the ming dynasty,4363.90380191803
成都博物馆通过其官网和官方微博账号发布博物馆动态。,The museum was completed by Hong Kong chairman in the upper examination arribing to the second of forces becoming the central secretary of the museum,Chengdu Museum releases Museum’s information over its website and official weibo account.,成都博物馆通过其官网和官方微博账号发布博物馆动态,the museum was completed by hong kong chairman in the upper examination arribing to the second of forces becoming the central secretary of the museum,chengdu museum releases museum s information over its website and official weibo account,4363.90380191803
该御瓷厂主要服务于皇家，其生产出的作品常作为礼物赠送给外国政要。,The main service of the该预此场主要服务与皇家其实产出的作品常作为礼物正宋给外国镇药,The imperial porcelain factory mainly served the royal family and its works were often used as gifts to foreign dignitaries.,该御瓷厂主要服务于皇家 其生产出的作品常作为礼物赠送给外国政要,the main service of the该预此场主要服务与皇家其实产出的作品常作为礼物正宋给外国镇药,the imperial porcelain factory mainly served the royal family and its works were often used as gifts to foreign dignitaries,4363.90380191803
类似的目击还发生过多次，其中不乏受尊重人士。,Our third dream has also entered many times because the situation is not severe,The similar sightings were reported several times even by the celebrities.,类似的目击还发生过多次 其中不乏受尊重人士,our third dream has also entered many times because the situation is not severe,the similar sightings were reported several times even by the celebrities,4363.90380191803
李承选，字俊卿，河南开封府延津县人，民籍，明朝政治人物、进士出身。,Li Chen選自俊青和南开吩咐沿金陷任名己明朝政治人物近世出身,"Li Chengxuan, alias Junqing, a native of Yanjin County of Kaifeng Prefecture, Henan Province, civilian, was a political figure and Jinshi Scholar in the Ming dynasty.",李承选 字俊卿 河南开封府延津县人 民籍 明朝政治人物 进士出身,li chen選自俊青和南开吩咐沿金陷任名己明朝政治人物近世出身,li chengxuan alias junqing a native of yanjin county of kaifeng prefecture henan province civilian was a political figure and jinshi scholar in the ming dynasty,4363.90380191803
黄辉祥华裔商人、运动员。,"Huang Huiqiang, Hua Yi Shangren,運動員","Huanghui Xiang Chinese businessmen, athlete.",黄辉祥华裔商人 运动员,huang huiqiang hua yi shangren 運動員,huanghui xiang chinese businessmen athlete,4363.90380191803
北戴河近代建筑群主要包括：已毁的着名近代建筑有：,为带和进带建住权主要包括 遗惑的住民进带建住要,Beidaihe modern architecture complex mainly includes: the famous destroyed modern buildings are:,北戴河近代建筑群主要包括 已毁的着名近代建筑有,为带和进带建住权主要包括 遗惑的住民进带建住要,beidaihe modern architecture complex mainly includes the famous destroyed modern buildings are,4363.90380191803
周宇女，湖北省武汉市人，中华人民共和国外交部官员，中共十九大代表。,Zhou Yu-女湖北神武汉士人 Zhonghua人民共和国外交部官员中共持久大代表,"Zhou Yunu, born in Wuhan, Hubei Province, is an official of the ministry of foreign affairs of the People's Republic of China and the deputy of the nineteenth National Congress of the Communist Party of China.",周宇女 湖北省武汉市人 中华人民共和国外交部官员 中共十九大代表,zhou yu 女湖北神武汉士人 zhonghua人民共和国外交部官员中共持久大代表,zhou yunu born in wuhan hubei province is an official of the ministry of foreign affairs of the people s republic of china and the deputy of the nineteenth national congress of the communist party of china,4363.90380191803
属安定郡。,socioecompany,belongs to Anding County,属安定郡,socioecompany,belongs to anding county,4363.90380191803
现在这座建筑是弗雷德里克·萧邦学会的所在地，并且也是萧邦博物馆的展馆建筑。,Now this is the site where the station art table of Freedvik west door Heat Campus is also the site of heat welcome,Now this building is the site of Frederick Chopin society and the exhibition hall of Chopin Museum.,现在这座建筑是弗雷德里克 萧邦学会的所在地 并且也是萧邦博物馆的展馆建筑,now this is the site where the station art table of freedvik west door heat campus is also the site of heat welcome,now this building is the site of frederick chopin society and the exhibition hall of chopin museum,4363.90380191803
在第五次“围剿”中，根据地被敌占领。,"In the 5th time, something different in his","In the Fifth Encirclement Campaign against Jiangxi Soviet, the base was occupied by the enemy.",在第五次 围剿 中 根据地被敌占领,in the 5th time something different in his,in the fifth encirclement campaign against jiangxi soviet the base was occupied by the enemy,4363.90380191803
开平路街道是中国山东省青岛市市北区下辖的一个街道。,"The plate corridor is in support of China's National Assembly horsepower, hits the lower barrier and is expensive.","Kaiping street is a street under the jurisdiction of Shibei District, Qingdao, Shandong, China.",开平路街道是中国山东省青岛市市北区下辖的一个街道,the plate corridor is in support of china s national assembly horsepower hits the lower barrier and is expensive,kaiping street is a street under the jurisdiction of shibei district qingdao shandong china,4363.90380191803
北魏设僧统，又名沙门统、都统等，是全国僧团最高领袖。,"The president of the United States is the president of the United States of America, and the president of the United States of America is the top leader of the whole country.","In the Northern Wei Dynasty, there was Sengtong, also known as Samana Tong, Du Tong, which was the highest leader of the Sangha in China.",北魏设僧统 又名沙门统 都统等 是全国僧团最高领袖,the president of the united states is the president of the united states of america and the president of the united states of america is the top leader of the whole country,in the northern wei dynasty there was sengtong also known as samana tong du tong which was the highest leader of the sangha in china,4363.90380191803
许乃番，浙江仁和人，清朝政治人物。,The man and the man this family all put the people together,"Xu Naifan, a native in Rehe, Zhejiang, was a political figure in the Qing Dynasty.",许乃番 浙江仁和人 清朝政治人物,the man and the man this family all put the people together,xu naifan a native in rehe zhejiang was a political figure in the qing dynasty,4363.90380191803
上海出租车，是指在中国上海市行政区域内行驶和运营的出租车。,Shanghai出租车是指在中国上海市行政区域内行使和运营的出租车,"Shanghai taxi"" refers to taxis that being driven and operated in the administrative of Shanghai, China.",上海出租车 是指在中国上海市行政区域内行驶和运营的出租车,shanghai出租车是指在中国上海市行政区域内行使和运营的出租车,shanghai taxi refers to taxis that being driven and operated in the administrative of shanghai china,4363.90380191803
孙正东，安徽灵璧人，汉族，中国共产党党员。,"Sun Zhengdong, Anhui, Lin, Bi, Ren, Han, Zu, China Communist Party Party","Sun Zhengdong, a native of Lingbi, Anhui, Han Chinese, Chinese Communist Party.",孙正东 安徽灵璧人 汉族 中国共产党党员,sun zhengdong anhui lin bi ren han zu china communist party party,sun zhengdong a native of lingbi anhui han chinese chinese communist party,4363.90380191803
南瓜妮歌迷俱乐部组成。,Men struggle with a fantastic team,Formed by the Pumpkinney Fan Club,南瓜妮歌迷俱乐部组成,men struggle with a fantastic team,formed by the pumpkinney fan club,4363.90380191803
既用排满之说疑误满人，更借灭汉之说激耸汉人，离间谗构狡谲已极。,"Authorities who use a maskns themselves says, rather than being serialized, so that a sleeve can pass would be stolen.","With the argument of “opposing Manchurian” and the argument of “destroying Han” to stimulate the Han people, reflected the crafty and treacherous wedge between two parties.",既用排满之说疑误满人 更借灭汉之说激耸汉人 离间谗构狡谲已极,authorities who use a maskns themselves says rather than being serialized so that a sleeve can pass would be stolen,with the argument of opposing manchurian and the argument of destroying han to stimulate the han people reflected the crafty and treacherous wedge between two parties,4363.90380191803
吉林省图书馆成立于清宣统元年，馆舍设在当时的吉林省府所在地吉林市。,"adaptation of funds growth, crystallization to grow, substance improvement, and light carbon had increased up to the?""","Jilin provincial library was founded in the first year of Xuantong in Qing Dynasty, and its premises were located in Jilin City, the capital of Jilin Province at that time.",吉林省图书馆成立于清宣统元年 馆舍设在当时的吉林省府所在地吉林市,adaptation of funds growth crystallization to grow substance improvement and light carbon had increased up to the,jilin provincial library was founded in the first year of xuantong in qing dynasty and its premises were located in jilin city the capital of jilin province at that time,4363.90380191803
流浪动物花园，全称中华民国流浪动物花园协会，是台湾的一个动物保护组织。,The rat-flapazies were painted after all in the Land of the State of China. The purpose of Taiwanese movement began mainly by representatives of the pitcher.,"Doghome, full name of the association of stray animal garden of Taiwan, is an animal protection organization in Taiwan.",流浪动物花园 全称中华民国流浪动物花园协会 是台湾的一个动物保护组织,the rat flapazies were painted after all in the land of the state of china the purpose of taiwanese movement began mainly by representatives of the pitcher,doghome full name of the association of stray animal garden of taiwan is an animal protection organization in taiwan,4363.90380191803
中华民国成立后，在英属加拿大设置总领事馆。,"After China Republic Embassy, in democrats ofと神鎂 Calad learns the Historical ideas","After the founding of the Republic of China, a consulate general was established in British Canada.",中华民国成立后 在英属加拿大设置总领事馆,after china republic embassy in democrats ofと神鎂 calad learns the historical ideas,after the founding of the republic of china a consulate general was established in british canada,4363.90380191803
然而，在一般的条件下，最小充分统计量总是存在的。,"while adjusting the surface short, small gauges bhatt","However, under general conditions, the minimum sufficient statistics always exist.",然而 在一般的条件下 最小充分统计量总是存在的,while adjusting the surface short small gauges bhatt,however under general conditions the minimum sufficient statistics always exist,4363.90380191803
日军将三式炮战车定位为自走炮兼驱逐战车。,The dricket of the Rijun has had the third mission on the road .,The Japanese positioned the three gun chariot as a self-propelled gun and destroyer.,日军将三式炮战车定位为自走炮兼驱逐战车,the dricket of the rijun has had the third mission on the road,the japanese positioned the three gun chariot as a self propelled gun and destroyer,4363.90380191803
高庄可以指：,Make sure that it is ready,Gaozhuang may refer to:,高庄可以指,make sure that it is ready,gaozhuang may refer to,4363.90380191803
廖淑惠，出生于云林县农户，家中排行第三。,Members of 3rd floor live VIP floor,"Liao Shuhui, born in Yunlin County, is the third kid in her family.",廖淑惠 出生于云林县农户 家中排行第三,members of 3rd floor live vip floor,liao shuhui born in yunlin county is the third kid in her family,4363.90380191803
即西方三圣接引图。,The,"That is to say, the drawing of “Three Saints from the West”.",即西方三圣接引图,the,that is to say the drawing of three saints from the west,4363.90380191803
金城是位于美国阿肯色州拉法叶县的一个非建制地区。,"Today, Beijing is once another landmark rebuilding of the Asia-Pacific","Gin City is an unincorporated community in Lafayette County, in Arkansas, USA",金城是位于美国阿肯色州拉法叶县的一个非建制地区,today beijing is once another landmark rebuilding of the asia pacific,gin city is an unincorporated community in lafayette county in arkansas usa,4363.90380191803
牵招说，袁绍承制，曹公奉天子命，辽东是下属之郡，怎么能擅称授拜职位。,Jiang Ziong wasn't accepted but Chang'e hated,"Qianzhao said that Yuan Shao was in charge of the system, and Cao Gong was ordered by the emperor. Liaodong was a subordinate County, so how could it be called the position of conferring worship.",牵招说 袁绍承制 曹公奉天子命 辽东是下属之郡 怎么能擅称授拜职位,jiang ziong wasn t accepted but chang e hated,qianzhao said that yuan shao was in charge of the system and cao gong was ordered by the emperor liaodong was a subordinate county so how could it be called the position of conferring worship,4363.90380191803
唐纳·席格，是一名美国男导演和监制。,Teng Na Xiběh is a Zeitung chemicals manufacturer Special Oh mieli,Donald Siegel is a male director and producer from US.,唐纳 席格 是一名美国男导演和监制,teng na xiběh is a zeitung chemicals manufacturer special oh mieli,donald siegel is a male director and producer from us,4363.90380191803
根据欧洲联盟基本条约，欧洲中央银行设在欧元区最大的金融中心法兰克福市界限内。,According to the U.S. Europe–US Bank of the Peter Henry VIII is one of the largest autumn całean Czeches in Valanc Auwesmer City,"According to the basic treaty of the European Union, the European Central Bank is located within the limits of Frankfurt, the largest financial center in the eurozone.",根据欧洲联盟基本条约 欧洲中央银行设在欧元区最大的金融中心法兰克福市界限内,according to the u s europe us bank of the peter henry viii is one of the largest autumn całean czeches in valanc auwesmer city,according to the basic treaty of the european union the european central bank is located within the limits of frankfurt the largest financial center in the eurozone,4363.90380191803
拂涅靺鞨，即拂涅部，亦称“大拂涅”。,"바� για teenage, 돌녁은 달멸 막 abras이","Fonie Mohe, namely, Fonie Tribe, is also known as ""Dafonie"".",拂涅靺鞨 即拂涅部 亦称 大拂涅,바 για teenage 돌녁은 달멸 막 abras이,fonie mohe namely fonie tribe is also known as dafonie,4363.90380191803
礁环冠水母是钵水母纲冠水母目领状水母科环冠水母属之下的一个深海水母物种。,the butterfly soccer Smile,"Atolla Jellyfish is a crown jellyfish, under the atollidae family and lives under deep sea.",礁环冠水母是钵水母纲冠水母目领状水母科环冠水母属之下的一个深海水母物种,the butterfly soccer smile,atolla jellyfish is a crown jellyfish under the atollidae family and lives under deep sea,4363.90380191803
如果无法控制,"If there is no control,",If it cannot control,如果无法控制,if there is no control,if it cannot control,4363.90380191803
黑龙江省农垦总局友谊农场位于三江平原腹地，今黑龙江省双鸭山市友谊县。,hero general dragons has a dragon taste for three講平原賦帝 to heal the god of willingness,"Friendship farm of Heilongjiang Agricultural Reclamation Bureau is located in the hinterland of Sanjiang Plain in current Youyi County, Shuangyashan City, Heilongjiang Province.",黑龙江省农垦总局友谊农场位于三江平原腹地 今黑龙江省双鸭山市友谊县,hero general dragons has a dragon taste for three講平原賦帝 to heal the god of willingness,friendship farm of heilongjiang agricultural reclamation bureau is located in the hinterland of sanjiang plain in current youyi county shuangyashan city heilongjiang province,4363.90380191803
母王氏；继母田氏。,"God bless your banquet in mourning Unh,","Mother: Mrs.Wang, Stepmother: Mrs. Tian.",母王氏 继母田氏,god bless your banquet in mourning unh,mother mrs wang stepmother mrs tian,4363.90380191803
维奥拉‧戴斯蒙德，）是一位加拿大新斯科舍省的非裔加拿大商人。,"Now that on Christmas,orthy Hunanmen have left ZuCanada Soviet Union, I want to bring up my own business,Birma's 2nd pure training so as not to persuade printage every day that business was in danger is the real truth Look for package",Viola Irene Desmond was a Canadian businesswoman of Black Nova Scotian descent.,维奥拉 戴斯蒙德 是一位加拿大新斯科舍省的非裔加拿大商人,now that on christmas orthy hunanmen have left zucanada soviet union i want to bring up my own business birma s 2nd pure training so as not to persuade printage every day that business was in danger is the real truth look for package,viola irene desmond was a canadian businesswoman of black nova scotian descent,4363.90380191803
萧氏也因在轻井泽成立教会和避暑别庄，使当地重新兴盛而被尊为「轻井泽之父」。,"In addition, Yin Yin accomodated the","Xiao was also honored as the ""father of Karuizawa"" because of the establishment of the church and the summer resort in Karuizawa, which made the local area prosperous again.",萧氏也因在轻井泽成立教会和避暑别庄 使当地重新兴盛而被尊为 轻井泽之父,in addition yin yin accomodated the,xiao was also honored as the father of karuizawa because of the establishment of the church and the summer resort in karuizawa which made the local area prosperous again,4363.90380191803
加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长，领导加泰罗尼亚各行政机构。,shares From.,"The president of the Catalunya government is the highest executive head of the government of Catalunya, who leads the executive bodies of Catalunya.",加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长 领导加泰罗尼亚各行政机构,shares from,the president of the catalunya government is the highest executive head of the government of catalunya who leads the executive bodies of catalunya,4363.90380191803
几百年来，大部分原来的绘画和可移动的装饰已经售出。,"In the hundreds of years, the hard and molding is already done with their original painting and actions","For centuries, most of the original paintings and removable decorations have been sold.",几百年来 大部分原来的绘画和可移动的装饰已经售出,in the hundreds of years the hard and molding is already done with their original painting and actions,for centuries most of the original paintings and removable decorations have been sold,4363.90380191803
金寿浩，吉林珲春人，朝鲜族，中国共产党党员。,"Jin Shou Hao, Ji Ling Hui Chun Yuan, Cao Xian Zhu, China Communist Party leader","Jin Shouhao, born in Hunchun, Jilin Province, is a Korean nationality and a member of the Communist Party of China.",金寿浩 吉林珲春人 朝鲜族 中国共产党党员,jin shou hao ji ling hui chun yuan cao xian zhu china communist party leader,jin shouhao born in hunchun jilin province is a korean nationality and a member of the communist party of china,4363.90380191803
直到今天，人们仍然可以在该镇附近看到城墙的痕迹。,As long as people can see progress in the rock near the turning point,"Until today, people can still see the remnants of the city walls around the town.",直到今天 人们仍然可以在该镇附近看到城墙的痕迹,as long as people can see progress in the rock near the turning point,until today people can still see the remnants of the city walls around the town,4363.90380191803
