sentence,hypothesis,translation,clean_sentence,clean_hypothesis,clean_translation,training_time
嘉靖四十一年，登进士第二甲第四十六名。,"Jiajing 41 years, Dengjing is second-highest, 46th","In the 41st year of Jiajing, he was ranked 46th among the 2nd-tier Jinshi Scholars.",嘉靖四十一年 登进士第二甲第四十六名,jiajing 41 years dengjing is second highest 46th,in the 41st year of jiajing he was ranked 46th among the 2nd tier jinshi scholars,4191.862732887268
遂被押于文登监狱，后转至山东省反省院。,He was then taken to the Wenden Prison and transferred to Shantungshen Reflective Hospital.,Then he was detained in Wendeng prison and transferred to Shandong Provincial introspection hospital.,遂被押于文登监狱 后转至山东省反省院,he was then taken to the wenden prison and transferred to shantungshen reflective hospital,then he was detained in wendeng prison and transferred to shandong provincial introspection hospital,4191.862732887268
赵德光可以是指：,Zhao Deguang can try,Zhao Deguang may refer to:,赵德光可以是指,zhao deguang can try,zhao deguang may refer to,4191.862732887268
在位三十年去世，谥号严。,Shi Haoyan died 30 years later,He died in his thirtieth year in office with a posthumous title of Yan.,在位三十年去世 谥号严,shi haoyan died 30 years later,he died in his thirtieth year in office with a posthumous title of yan,4191.862732887268
周继，字善卿，山东济南府历城县人，民籍，明朝政治人物、进士出身。,"Zhou Ji, from Shanqing, from Li Chen County, Jinan, Shandong, from Ming Ji, a political figure of the Ming Dynasty, was born in Jing.","Zhou Ji, style name as Shanqing, a native of Licheng County, Jinan Prefecture, Shandong, citizenship, was a political figure and Jinshi in the Ming Dynasty.",周继 字善卿 山东济南府历城县人 民籍 明朝政治人物 进士出身,zhou ji from shanqing from li chen county jinan shandong from ming ji a political figure of the ming dynasty was born in jing,zhou ji style name as shanqing a native of licheng county jinan prefecture shandong citizenship was a political figure and jinshi in the ming dynasty,4191.862732887268
成都博物馆通过其官网和官方微博账号发布博物馆动态。,Chengdu Museum publishes museum dynamic through its official website and official Weibo account,Chengdu Museum releases Museum’s information over its website and official weibo account.,成都博物馆通过其官网和官方微博账号发布博物馆动态,chengdu museum publishes museum dynamic through its official website and official weibo account,chengdu museum releases museum s information over its website and official weibo account,4191.862732887268
该御瓷厂主要服务于皇家，其生产出的作品常作为礼物赠送给外国政要。,The jade porcelain factory mainly serves the royal family. The works produced by it are often presented as gifts to foreign countries.,The imperial porcelain factory mainly served the royal family and its works were often used as gifts to foreign dignitaries.,该御瓷厂主要服务于皇家 其生产出的作品常作为礼物赠送给外国政要,the jade porcelain factory mainly serves the royal family the works produced by it are often presented as gifts to foreign countries,the imperial porcelain factory mainly served the royal family and its works were often used as gifts to foreign dignitaries,4191.862732887268
类似的目击还发生过多次，其中不乏受尊重人士。,"Similar sightings have happened many times, and many of them are respected.",The similar sightings were reported several times even by the celebrities.,类似的目击还发生过多次 其中不乏受尊重人士,similar sightings have happened many times and many of them are respected,the similar sightings were reported several times even by the celebrities,4191.862732887268
李承选，字俊卿，河南开封府延津县人，民籍，明朝政治人物、进士出身。,"Li Chenxuan, Zijunqing, Henan Kaifenfu, Yanjing County, Mingji, Ming Dynasty political figure, born in Jin","Li Chengxuan, alias Junqing, a native of Yanjin County of Kaifeng Prefecture, Henan Province, civilian, was a political figure and Jinshi Scholar in the Ming dynasty.",李承选 字俊卿 河南开封府延津县人 民籍 明朝政治人物 进士出身,li chenxuan zijunqing henan kaifenfu yanjing county mingji ming dynasty political figure born in jin,li chengxuan alias junqing a native of yanjin county of kaifeng prefecture henan province civilian was a political figure and jinshi scholar in the ming dynasty,4191.862732887268
黄辉祥华裔商人、运动员。,"Huang Hui Xiang, Chinese businessman and athlete","Huanghui Xiang Chinese businessmen, athlete.",黄辉祥华裔商人 运动员,huang hui xiang chinese businessman and athlete,huanghui xiang chinese businessmen athlete,4191.862732887268
北戴河近代建筑群主要包括：已毁的着名近代建筑有：,The famous modern architecture of the Beidaihe modern architecture group mainly includes,Beidaihe modern architecture complex mainly includes: the famous destroyed modern buildings are:,北戴河近代建筑群主要包括 已毁的着名近代建筑有,the famous modern architecture of the beidaihe modern architecture group mainly includes,beidaihe modern architecture complex mainly includes the famous destroyed modern buildings are,4191.862732887268
周宇女，湖北省武汉市人，中华人民共和国外交部官员，中共十九大代表。,"Zhou Yu-niu, a resident of Wuhan, Hubei Province Chinese People's Republic of China Foreign Ministry official 19th Chinese Communist Party representative","Zhou Yunu, born in Wuhan, Hubei Province, is an official of the ministry of foreign affairs of the People's Republic of China and the deputy of the nineteenth National Congress of the Communist Party of China.",周宇女 湖北省武汉市人 中华人民共和国外交部官员 中共十九大代表,zhou yu niu a resident of wuhan hubei province chinese people s republic of china foreign ministry official 19th chinese communist party representative,zhou yunu born in wuhan hubei province is an official of the ministry of foreign affairs of the people s republic of china and the deputy of the nineteenth national congress of the communist party of china,4191.862732887268
属安定郡。,Shiwanlingjun,belongs to Anding County,属安定郡,shiwanlingjun,belongs to anding county,4191.862732887268
现在这座建筑是弗雷德里克·萧邦学会的所在地，并且也是萧邦博物馆的展馆建筑。,This building is the residence of the Frédéric-Schalbán Academy and is also the exhibition building of the Schalbán Museum.,Now this building is the site of Frederick Chopin society and the exhibition hall of Chopin Museum.,现在这座建筑是弗雷德里克 萧邦学会的所在地 并且也是萧邦博物馆的展馆建筑,this building is the residence of the frédéric schalbán academy and is also the exhibition building of the schalbán museum,now this building is the site of frederick chopin society and the exhibition hall of chopin museum,4191.862732887268
在第五次“围剿”中，根据地被敌占领。,"In the fifth round, the base is occupied by the enemy.","In the Fifth Encirclement Campaign against Jiangxi Soviet, the base was occupied by the enemy.",在第五次 围剿 中 根据地被敌占领,in the fifth round the base is occupied by the enemy,in the fifth encirclement campaign against jiangxi soviet the base was occupied by the enemy,4191.862732887268
开平路街道是中国山东省青岛市市北区下辖的一个街道。,"The street is a street in the north of the city of Qingdao, Shandong Province, China.","Kaiping street is a street under the jurisdiction of Shibei District, Qingdao, Shandong, China.",开平路街道是中国山东省青岛市市北区下辖的一个街道,the street is a street in the north of the city of qingdao shandong province china,kaiping street is a street under the jurisdiction of shibei district qingdao shandong china,4191.862732887268
北魏设僧统，又名沙门统、都统等，是全国僧团最高领袖。,"Be downtroddenach, short","In the Northern Wei Dynasty, there was Sengtong, also known as Samana Tong, Du Tong, which was the highest leader of the Sangha in China.",北魏设僧统 又名沙门统 都统等 是全国僧团最高领袖,be downtroddenach short,in the northern wei dynasty there was sengtong also known as samana tong du tong which was the highest leader of the sangha in china,4191.862732887268
许乃番，浙江仁和人，清朝政治人物。,"Xu Nai Fan, from the Zhejiang River, a political figure of the Qing Dynasty.","Xu Naifan, a native in Rehe, Zhejiang, was a political figure in the Qing Dynasty.",许乃番 浙江仁和人 清朝政治人物,xu nai fan from the zhejiang river a political figure of the qing dynasty,xu naifan a native in rehe zhejiang was a political figure in the qing dynasty,4191.862732887268
上海出租车，是指在中国上海市行政区域内行驶和运营的出租车。,Shanghai taxi is a taxi that is used and operated in the Shanghai city administrative area of China.,"Shanghai taxi"" refers to taxis that being driven and operated in the administrative of Shanghai, China.",上海出租车 是指在中国上海市行政区域内行驶和运营的出租车,shanghai taxi is a taxi that is used and operated in the shanghai city administrative area of china,shanghai taxi refers to taxis that being driven and operated in the administrative of shanghai china,4191.862732887268
孙正东，安徽灵璧人，汉族，中国共产党党员。,"Sun Zhengdong, Anhui Lin Biren, Han Chinese Communist Party member","Sun Zhengdong, a native of Lingbi, Anhui, Han Chinese, Chinese Communist Party.",孙正东 安徽灵璧人 汉族 中国共产党党员,sun zhengdong anhui lin biren han chinese communist party member,sun zhengdong a native of lingbi anhui han chinese chinese communist party,4191.862732887268
南瓜妮歌迷俱乐部组成。,Topic is to mix pumpkin counsel with glutinous rice for Cheese.,Formed by the Pumpkinney Fan Club,南瓜妮歌迷俱乐部组成,topic is to mix pumpkin counsel with glutinous rice for cheese,formed by the pumpkinney fan club,4191.862732887268
既用排满之说疑误满人，更借灭汉之说激耸汉人，离间谗构狡谲已极。,They claim that there are,"With the argument of “opposing Manchurian” and the argument of “destroying Han” to stimulate the Han people, reflected the crafty and treacherous wedge between two parties.",既用排满之说疑误满人 更借灭汉之说激耸汉人 离间谗构狡谲已极,they claim that there are,with the argument of opposing manchurian and the argument of destroying han to stimulate the han people reflected the crafty and treacherous wedge between two parties,4191.862732887268
吉林省图书馆成立于清宣统元年，馆舍设在当时的吉林省府所在地吉林市。,"The Jilin Library was established in Qing Xuan Tong Yuan year. The building was located in the Jilin City, where the Jilin Buddha was.","Jilin provincial library was founded in the first year of Xuantong in Qing Dynasty, and its premises were located in Jilin City, the capital of Jilin Province at that time.",吉林省图书馆成立于清宣统元年 馆舍设在当时的吉林省府所在地吉林市,the jilin library was established in qing xuan tong yuan year the building was located in the jilin city where the jilin buddha was,jilin provincial library was founded in the first year of xuantong in qing dynasty and its premises were located in jilin city the capital of jilin province at that time,4191.862732887268
流浪动物花园，全称中华民国流浪动物花园协会，是台湾的一个动物保护组织。,The или this,"Doghome, full name of the association of stray animal garden of Taiwan, is an animal protection organization in Taiwan.",流浪动物花园 全称中华民国流浪动物花园协会 是台湾的一个动物保护组织,the или this,doghome full name of the association of stray animal garden of taiwan is an animal protection organization in taiwan,4191.862732887268
中华民国成立后，在英属加拿大设置总领事馆。,"After the establishment of the Republic of China, the General Consulate was set up in Canada.","After the founding of the Republic of China, a consulate general was established in British Canada.",中华民国成立后 在英属加拿大设置总领事馆,after the establishment of the republic of china the general consulate was set up in canada,after the founding of the republic of china a consulate general was established in british canada,4191.862732887268
然而，在一般的条件下，最小充分统计量总是存在的。,"However, under normal conditions, the minimum amount of statistics always exists.","However, under general conditions, the minimum sufficient statistics always exist.",然而 在一般的条件下 最小充分统计量总是存在的,however under normal conditions the minimum amount of statistics always exists,however under general conditions the minimum sufficient statistics always exist,4191.862732887268
日军将三式炮战车定位为自走炮兼驱逐战车。,The Japs used the смотрите-9-8 train as the 브레이는-9-8-9 before they drove.,The Japanese positioned the three gun chariot as a self-propelled gun and destroyer.,日军将三式炮战车定位为自走炮兼驱逐战车,the japs used the смотрите 9 8 train as the 브레이는 9 8 9 before they drove,the japanese positioned the three gun chariot as a self propelled gun and destroyer,4191.862732887268
高庄可以指：,which may not be recommended as it may producerouvres,Gaozhuang may refer to:,高庄可以指,which may not be recommended as it may producerouvres,gaozhuang may refer to,4191.862732887268
廖淑惠，出生于云林县农户，家中排行第三。,"Liao Shuhui, born in Nonghu, Yunlin County, third in the family.","Liao Shuhui, born in Yunlin County, is the third kid in her family.",廖淑惠 出生于云林县农户 家中排行第三,liao shuhui born in nonghu yunlin county third in the family,liao shuhui born in yunlin county is the third kid in her family,4191.862732887268
即西方三圣接引图。,及西方三圣接引图。,"That is to say, the drawing of “Three Saints from the West”.",即西方三圣接引图,及西方三圣接引图,that is to say the drawing of three saints from the west,4191.862732887268
金城是位于美国阿肯色州拉法叶县的一个非建制地区。,The capital is located in a non-constitutional area on the Rafa line in Arkansas.,"Gin City is an unincorporated community in Lafayette County, in Arkansas, USA",金城是位于美国阿肯色州拉法叶县的一个非建制地区,the capital is located in a non constitutional area on the rafa line in arkansas,gin city is an unincorporated community in lafayette county in arkansas usa,4191.862732887268
牵招说，袁绍承制，曹公奉天子命，辽东是下属之郡，怎么能擅称授拜职位。,"Qian Zhao said that Yuan Shao was sincere and the emperor ordered Cao Gong to follow the emperor's order. Liao Dong was the son of the emperor, how could he be called a loser?","Qianzhao said that Yuan Shao was in charge of the system, and Cao Gong was ordered by the emperor. Liaodong was a subordinate County, so how could it be called the position of conferring worship.",牵招说 袁绍承制 曹公奉天子命 辽东是下属之郡 怎么能擅称授拜职位,qian zhao said that yuan shao was sincere and the emperor ordered cao gong to follow the emperor s order liao dong was the son of the emperor how could he be called a loser,qianzhao said that yuan shao was in charge of the system and cao gong was ordered by the emperor liaodong was a subordinate county so how could it be called the position of conferring worship,4191.862732887268
唐纳·席格，是一名美国男导演和监制。,Tanna Seagal is an American director and director.,Donald Siegel is a male director and producer from US.,唐纳 席格 是一名美国男导演和监制,tanna seagal is an american director and director,donald siegel is a male director and producer from us,4191.862732887268
根据欧洲联盟基本条约，欧洲中央银行设在欧元区最大的金融中心法兰克福市界限内。,"According to the Basic Treaty of the European Union, the European Central Bank is located in the world of the largest financial center in the European Union, the Falkland region.","According to the basic treaty of the European Union, the European Central Bank is located within the limits of Frankfurt, the largest financial center in the eurozone.",根据欧洲联盟基本条约 欧洲中央银行设在欧元区最大的金融中心法兰克福市界限内,according to the basic treaty of the european union the european central bank is located in the world of the largest financial center in the european union the falkland region,according to the basic treaty of the european union the european central bank is located within the limits of frankfurt the largest financial center in the eurozone,4191.862732887268
拂涅靺鞨，即拂涅部，亦称“大拂涅”。,"伏鎳墨河即伏鎳部,亦称大伏鎳。","Fonie Mohe, namely, Fonie Tribe, is also known as ""Dafonie"".",拂涅靺鞨 即拂涅部 亦称 大拂涅,伏鎳墨河即伏鎳部 亦称大伏鎳,fonie mohe namely fonie tribe is also known as dafonie,4191.862732887268
礁环冠水母是钵水母纲冠水母目领状水母科环冠水母属之下的一个深海水母物种。,The spherm is a deep flora underative species in the showy,"Atolla Jellyfish is a crown jellyfish, under the atollidae family and lives under deep sea.",礁环冠水母是钵水母纲冠水母目领状水母科环冠水母属之下的一个深海水母物种,the spherm is a deep flora underative species in the showy,atolla jellyfish is a crown jellyfish under the atollidae family and lives under deep sea,4191.862732887268
如果无法控制,If you can't control it,If it cannot control,如果无法控制,if you can t control it,if it cannot control,4191.862732887268
黑龙江省农垦总局友谊农场位于三江平原腹地，今黑龙江省双鸭山市友谊县。,"The farm of the Peasant Farm Bureau in Heilongjiang Province is located in the area of ​​Sanjiang Plain, near the Shuangya Mountain in Heilongjiang Province.","Friendship farm of Heilongjiang Agricultural Reclamation Bureau is located in the hinterland of Sanjiang Plain in current Youyi County, Shuangyashan City, Heilongjiang Province.",黑龙江省农垦总局友谊农场位于三江平原腹地 今黑龙江省双鸭山市友谊县,the farm of the peasant farm bureau in heilongjiang province is located in the area of ​​sanjiang plain near the shuangya mountain in heilongjiang province,friendship farm of heilongjiang agricultural reclamation bureau is located in the hinterland of sanjiang plain in current youyi county shuangyashan city heilongjiang province,4191.862732887268
母王氏；继母田氏。,"母王氏,即母田氏.","Mother: Mrs.Wang, Stepmother: Mrs. Tian.",母王氏 继母田氏,母王氏 即母田氏,mother mrs wang stepmother mrs tian,4191.862732887268
维奥拉‧戴斯蒙德，）是一位加拿大新斯科舍省的非裔加拿大商人。,Wilor Bell posthkmly ....を .... ... .... ....,Viola Irene Desmond was a Canadian businesswoman of Black Nova Scotian descent.,维奥拉 戴斯蒙德 是一位加拿大新斯科舍省的非裔加拿大商人,wilor bell posthkmly を,viola irene desmond was a canadian businesswoman of black nova scotian descent,4191.862732887268
萧氏也因在轻井泽成立教会和避暑别庄，使当地重新兴盛而被尊为「轻井泽之父」。,"Xiao Shi also established a church and a villa in Qingjingze, making the local people re-sign, and was honored as the father of Qingjingze.","Xiao was also honored as the ""father of Karuizawa"" because of the establishment of the church and the summer resort in Karuizawa, which made the local area prosperous again.",萧氏也因在轻井泽成立教会和避暑别庄 使当地重新兴盛而被尊为 轻井泽之父,xiao shi also established a church and a villa in qingjingze making the local people re sign and was honored as the father of qingjingze,xiao was also honored as the father of karuizawa because of the establishment of the church and the summer resort in karuizawa which made the local area prosperous again,4191.862732887268
加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长，领导加泰罗尼亚各行政机构。,"President of the Catalan government is the highest executive chief of the Catalan government, and is the leader of Catalan administrative institutions.","The president of the Catalunya government is the highest executive head of the government of Catalunya, who leads the executive bodies of Catalunya.",加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长 领导加泰罗尼亚各行政机构,president of the catalan government is the highest executive chief of the catalan government and is the leader of catalan administrative institutions,the president of the catalunya government is the highest executive head of the government of catalunya who leads the executive bodies of catalunya,4191.862732887268
几百年来，大部分原来的绘画和可移动的装饰已经售出。,"For hundreds of years, most of the original paintings and movable decorations have been sold.","For centuries, most of the original paintings and removable decorations have been sold.",几百年来 大部分原来的绘画和可移动的装饰已经售出,for hundreds of years most of the original paintings and movable decorations have been sold,for centuries most of the original paintings and removable decorations have been sold,4191.862732887268
