sentence,hypothesis,translation,clean_sentence,clean_hypothesis,clean_translation,training_time
廖淑惠，出生于云林县农户，家中排行第三。,"Liao Shuhui, born in Nonghu, Yunlin County, the third row of the family.","Liao Shuhui, born in Yunlin County, is the third kid in her family.",廖淑惠 出生于云林县农户 家中排行第三,liao shuhui born in nonghu yunlin county the third row of the family,liao shuhui born in yunlin county is the third kid in her family,4640.434547901154
即西方三圣接引图。,Wrapping up of the Three Holy ini,"That is to say, the drawing of “Three Saints from the West”.",即西方三圣接引图,wrapping up of the three holy ini,that is to say the drawing of three saints from the west,4640.434547901154
金城是位于美国阿肯色州拉法叶县的一个非建制地区。,"The capital is located in a non-construction area in Lafayette County, Arkansas, USA.","Gin City is an unincorporated community in Lafayette County, in Arkansas, USA",金城是位于美国阿肯色州拉法叶县的一个非建制地区,the capital is located in a non construction area in lafayette county arkansas usa,gin city is an unincorporated community in lafayette county in arkansas usa,4640.434547901154
牵招说，袁绍承制，曹公奉天子命，辽东是下属之郡，怎么能擅称授拜职位。,"Qianzhao said Yuan Shao was a wise man, Cao Gong was a wise man, and Liao Dong was a lowly man. How could he claim to be a good man?","Qianzhao said that Yuan Shao was in charge of the system, and Cao Gong was ordered by the emperor. Liaodong was a subordinate County, so how could it be called the position of conferring worship.",牵招说 袁绍承制 曹公奉天子命 辽东是下属之郡 怎么能擅称授拜职位,qianzhao said yuan shao was a wise man cao gong was a wise man and liao dong was a lowly man how could he claim to be a good man,qianzhao said that yuan shao was in charge of the system and cao gong was ordered by the emperor liaodong was a subordinate county so how could it be called the position of conferring worship,4640.434547901154
唐纳·席格，是一名美国男导演和监制。,Tang Na-Shi-Ge is an American male director and supervisor.,Donald Siegel is a male director and producer from US.,唐纳 席格 是一名美国男导演和监制,tang na shi ge is an american male director and supervisor,donald siegel is a male director and producer from us,4640.434547901154
根据欧洲联盟基本条约，欧洲中央银行设在欧元区最大的金融中心法兰克福市界限内。,"According to the European Union's Basic Treaty, the European Central Bank is located within the French border of the largest financial center in the European Union.","According to the basic treaty of the European Union, the European Central Bank is located within the limits of Frankfurt, the largest financial center in the eurozone.",根据欧洲联盟基本条约 欧洲中央银行设在欧元区最大的金融中心法兰克福市界限内,according to the european union s basic treaty the european central bank is located within the french border of the largest financial center in the european union,according to the basic treaty of the european union the european central bank is located within the limits of frankfurt the largest financial center in the eurozone,4640.434547901154
拂涅靺鞨，即拂涅部，亦称“大拂涅”。,Fune Mohe or Fune cloth is also called Da Fune.,"Fonie Mohe, namely, Fonie Tribe, is also known as ""Dafonie"".",拂涅靺鞨 即拂涅部 亦称 大拂涅,fune mohe or fune cloth is also called da fune,fonie mohe namely fonie tribe is also known as dafonie,4640.434547901154
礁环冠水母是钵水母纲冠水母目领状水母科环冠水母属之下的一个深海水母物种。,"The JiaoHuanGuanSuiMu is a deep-sea water mucous species in the JiaoHuanGuanSuiMu group of water mucous, water mucous mucous, and water mucous mucous.","Atolla Jellyfish is a crown jellyfish, under the atollidae family and lives under deep sea.",礁环冠水母是钵水母纲冠水母目领状水母科环冠水母属之下的一个深海水母物种,the jiaohuanguansuimu is a deep sea water mucous species in the jiaohuanguansuimu group of water mucous water mucous mucous and water mucous mucous,atolla jellyfish is a crown jellyfish under the atollidae family and lives under deep sea,4640.434547901154
如果无法控制,If you can't control it,If it cannot control,如果无法控制,if you can t control it,if it cannot control,4640.434547901154
黑龙江省农垦总局友谊农场位于三江平原腹地，今黑龙江省双鸭山市友谊县。,The,"Friendship farm of Heilongjiang Agricultural Reclamation Bureau is located in the hinterland of Sanjiang Plain in current Youyi County, Shuangyashan City, Heilongjiang Province.",黑龙江省农垦总局友谊农场位于三江平原腹地 今黑龙江省双鸭山市友谊县,the,friendship farm of heilongjiang agricultural reclamation bureau is located in the hinterland of sanjiang plain in current youyi county shuangyashan city heilongjiang province,4640.434547901154
母王氏；继母田氏。,Mother's Book of the Em bereit to Eng World,"Mother: Mrs.Wang, Stepmother: Mrs. Tian.",母王氏 继母田氏,mother s book of the em bereit to eng world,mother mrs wang stepmother mrs tian,4640.434547901154
维奥拉‧戴斯蒙德，）是一位加拿大新斯科舍省的非裔加拿大商人。,"Viola Desmond is a Canadian Canadian businessman from Sinsker, Canada.",Viola Irene Desmond was a Canadian businesswoman of Black Nova Scotian descent.,维奥拉 戴斯蒙德 是一位加拿大新斯科舍省的非裔加拿大商人,viola desmond is a canadian canadian businessman from sinsker canada,viola irene desmond was a canadian businesswoman of black nova scotian descent,4640.434547901154
萧氏也因在轻井泽成立教会和避暑别庄，使当地重新兴盛而被尊为「轻井泽之父」。,"Xiao was also the father of Qing Jingze, who established the church and the villa in Qingjingze, and made the local people re-sacrificed.","Xiao was also honored as the ""father of Karuizawa"" because of the establishment of the church and the summer resort in Karuizawa, which made the local area prosperous again.",萧氏也因在轻井泽成立教会和避暑别庄 使当地重新兴盛而被尊为 轻井泽之父,xiao was also the father of qing jingze who established the church and the villa in qingjingze and made the local people re sacrificed,xiao was also honored as the father of karuizawa because of the establishment of the church and the summer resort in karuizawa which made the local area prosperous again,4640.434547901154
加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长，领导加泰罗尼亚各行政机构。,"The President of the Government of Catalonia is the Chief Executive Officer of the Government of Catalonia, leading the various administrative bodies in Catalonia.","The president of the Catalunya government is the highest executive head of the government of Catalunya, who leads the executive bodies of Catalunya.",加泰隆尼亚政府主席是加泰隆尼亚政府的最高行政首长 领导加泰罗尼亚各行政机构,the president of the government of catalonia is the chief executive officer of the government of catalonia leading the various administrative bodies in catalonia,the president of the catalunya government is the highest executive head of the government of catalunya who leads the executive bodies of catalunya,4640.434547901154
